3cpio	0.14.0-1ubuntu1
fonts-freefont-ttf	20211204+svn4273-4build1
fonts-liberation	1:2.1.5-3build1
fonts-liberation-sans-narrow	1:1.07.6-4build1
fonts-noto-mono	20201225-2build1
fonts-ubuntu	0.869+git20240321-0ubuntu2
fonts-urw-base35	20200910-8build1
fuse3	3.18.2-1
g++	4:15.2.0-5ubuntu1
g++-15	15.2.0-16ubuntu1
g++-15-x86-64-linux-gnu	15.2.0-16ubuntu1
g++-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gawk	1:5.3.2-1ubuntu1.1
gcc	4:15.2.0-5ubuntu1
gcc-15	15.2.0-16ubuntu1
gcc-15-base:amd64	15.2.0-16ubuntu1
gcc-15-x86-64-linux-gnu	15.2.0-16ubuntu1
gcc-16-base:amd64	16-20260322-1ubuntu1
gcc-x86-64-linux-gnu	4:15.2.0-5ubuntu1
gdb	17.1-2ubuntu1
gdisk	1.0.10-2build1
gettext-base	0.23.2-1
gh	2.46.0-4
ghostscript	10.06.0~dfsg-3ubuntu1
gir1.2-girepository-3.0:amd64	2.88.0-1
gir1.2-glib-2.0:amd64	2.88.0-1
gir1.2-packagekitglib-1.0	1.3.4-3ubuntu1.1
girepository-tools:amd64	2.88.0-1
git	1:2.53.0-1ubuntu1
git-man	1:2.53.0-1ubuntu1
glib-networking:amd64	2.80.1-1build2
glib-networking-common	2.80.1-1build2
glib-networking-services	2.80.1-1build2
glycin-loaders	2.1.1+ds-0ubuntu1
glycin-thumbnailers	2.1.1+ds-0ubuntu1
gnome-accessibility-themes	3.28-5
gnome-themes-extra:amd64	3.28-5
gnome-themes-extra-data	3.28-5
gnu-coreutils	9.7-3ubuntu2
gnupg	2.4.8-4ubuntu3
gnupg-l10n	2.4.8-4ubuntu3
gnupg-utils	2.4.8-4ubuntu3
google-chrome-stable	150.0.7871.124-1
gpg	2.4.8-4ubuntu3
gpg-agent	2.4.8-4ubuntu3
gpg-wks-client	2.4.8-4ubuntu3
gpgconf	2.4.8-4ubuntu3
gpgsm	2.4.8-4ubuntu3
gpgv	2.4.8-4ubuntu3
grep	3.12-1
groff-base	1.23.0-10
grub-common	2.14-2ubuntu2.1
grub-efi-amd64	2.14-2ubuntu1
grub-efi-amd64-bin	2.14-2ubuntu1
grub-efi-amd64-signed	1.215+2.14-2ubuntu1
grub-efi-amd64-unsigned	2.14-2ubuntu1
grub-pc-bin	2.14-2ubuntu2.1
grub2-common	2.14-2ubuntu2.1
gsettings-desktop-schemas	50.0-1ubuntu2
gstreamer1.0-gl:amd64	1.28.2-1
gstreamer1.0-plugins-base:amd64	1.28.2-1
gtk-update-icon-cache	4.22.4+ds-0ubuntu0.1
gtk2-engines-pixbuf:amd64	2.24.33-10
gzip	1.14-1~exp2ubuntu1.1
hicolor-icon-theme	0.18-2build1
hostname	3.25build1
htop	3.4.1-5build2
hwctl	0.11.0-0ubuntu1
hwdata	0.394-1build1
ibus-gtk3:amd64	1.5.34~rc2-1
ibus-gtk4:amd64	1.5.34~rc2-1
ieee-data	20240722build1
imagemagick	8:7.1.2.18+dfsg1-1
imagemagick-7-common	8:7.1.2.18+dfsg1-1
imagemagick-7.q16	8:7.1.2.18+dfsg1-1
init-system-helpers	1.69
initramfs-tools	0.151ubuntu1
initramfs-tools-bin	0.151ubuntu1
initramfs-tools-core	0.151ubuntu1
input-utils	1.3-3
inputattach	1:1.8.1-2build2
intel-microcode	3.20260210.1ubuntu2
iproute2	6.19.0-1ubuntu1.1
iputils-ping	3:20250605-1ubuntu1
iso-codes	4.20.1-1
iucode-tool	2.3.1-3build2
iw	6.17-1
joystick	1:1.8.1-2build2
jq	1.8.1-4ubuntu2
jstest-gtk	0.1.1~git20250403.92bdf8e-1
kbd	2.7.1-2ubuntu2
kdump-tools	1:1.10.7ubuntu3
kexec-tools	1:2.0.32-3ubuntu1
keyboard-configuration	1.237ubuntu3
keyutils	1.6.3-6ubuntu3
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
kpartx	0.14.3-2ubuntu1
krb5-locales	1.22.1-2ubuntu4.1
less	668-1build1
libaacs0:amd64	0.11.1-4build1
libacl1:amd64	2.3.2-2
libaio1t64:amd64	0.3.113-8build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libaom3:amd64	3.13.1-2
libapparmor1:amd64	5.0.0~beta1-0ubuntu7
libappstream5:amd64	1.1.2-1
libapt-pkg7.0:amd64	3.2.0
libarchive13t64:amd64	3.8.5-1ubuntu2.2
libasan8:amd64	16-20260322-1ubuntu1
libasound2-data	1.2.15.3-1ubuntu1.1
libasound2-dev:amd64	1.2.15.3-1ubuntu1.1
libasound2t64:amd64	1.2.15.3-1ubuntu1.1
libass9:amd64	1:0.17.4-2
libassuan9:amd64	3.0.2-2build1
libasyncns0:amd64	0.8-7
libatk-bridge2.0-0t64:amd64	2.60.4-0ubuntu0.1
libatk1.0-0t64:amd64	2.60.4-0ubuntu0.1
libatkmm-1.6-1v5:amd64	2.28.4-2
libatomic1:amd64	16-20260322-1ubuntu1
libatopology2t64:amd64	1.2.15.3-1ubuntu1.1
libatspi2.0-0t64:amd64	2.60.4-0ubuntu0.1
libattr1:amd64	1:2.5.2-4
libaudit-common	1:4.1.2-1build1
libaudit1:amd64	1:4.1.2-1build1
libauthen-sasl-perl	2.2000-1
libavahi-client3:amd64	0.8-18ubuntu1.1
libavahi-common-data:amd64	0.8-18ubuntu1.1
libavahi-common3:amd64	0.8-18ubuntu1.1
libavc1394-0:amd64	0.5.4-5build4
libavcodec-dev:amd64	7:8.0.1-3ubuntu2
libavcodec62:amd64	7:8.0.1-3ubuntu2
libavdevice62:amd64	7:8.0.1-3ubuntu2
libavfilter-dev:amd64	7:8.0.1-3ubuntu2
libavfilter11:amd64	7:8.0.1-3ubuntu2
libavformat-dev:amd64	7:8.0.1-3ubuntu2
libavformat62:amd64	7:8.0.1-3ubuntu2
libavutil-dev:amd64	7:8.0.1-3ubuntu2
libavutil60:amd64	7:8.0.1-3ubuntu2
libayatana-ido3-0.4-0:amd64	0.10.4-1build1
libayatana-indicator3-7:amd64	0.9.4-2
libb2-1:amd64	0.98.1-1.1build2
libbabeltrace1:amd64	1.5.11-5build1
libbdplus0:amd64	0.2.0-4build1
libbinutils:amd64	2.46-3ubuntu2
libblas3:amd64	3.12.1-7ubuntu1
libblkid-dev:amd64	2.41.3-3ubuntu2
libblkid1:amd64	2.41.3-3ubuntu2
libbluetooth3:amd64	5.85-4ubuntu0.1
libbluray3:amd64	1:1.4.1-1
libbpf1:amd64	1:1.6.3-1ubuntu1
libbpfcc:amd64	0.35.0+ds-1ubuntu2
libbrotli1:amd64	1.2.0-3build1
libbs2b0:amd64	3.1.0+dfsg-8build1
libbsd0:amd64	0.12.2-2build2
libburn4t64:amd64	1.5.6-1.2build1
libbz2-1.0:amd64	1.0.8-6build2
libc-bin	2.43-2ubuntu2.3
libc-dev-bin	2.43-2ubuntu2.3
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3
libc6:amd64	2.43-2ubuntu2.3
libc6-dbg:amd64	2.43-2ubuntu2.3
libc6-dev:amd64	2.43-2ubuntu2.3
libcairo-gobject2:amd64	1.18.4-3
libcairo-script-interpreter2:amd64	1.18.4-3
libcairo2:amd64	1.18.4-3
libcairomm-1.0-1v5:amd64	1.14.5-3
libcairomm-1.16-1:amd64	1.18.0-3
libcanberra0:amd64	0.30-18ubuntu3
libcap-dev:amd64	1:2.75-10ubuntu2
libcap-ng0:amd64	0.8.5-4build5
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcbor0.10:amd64	0.10.2-2ubuntu3
libcc1-0:amd64	16-20260322-1ubuntu1
libcdio-cdda2t64:amd64	10.2+2.0.2-2
libcdio-paranoia2t64:amd64	10.2+2.0.2-2
libcdio19t64:amd64	2.2.0-4build1
libcdparanoia0:amd64	3.10.2+debian-14ubuntu2
libchromaprint1:amd64	1.6.0-2build1
libcjson1:amd64	1.7.19-2
libclang-cpp21	1:21.1.8-6ubuntu1
libclang1-21	1:21.1.8-6ubuntu1
libclone-perl:amd64	0.47-1
libcodec2-1.2:amd64	1.2.0-4
libcolord2:amd64	1.4.8-3
libcom-err2:amd64	1.47.2-3ubuntu4
libcrypt-dev:amd64	1:4.5.1-1
libcrypt-urandom-perl	0.55-1
libcrypt1:amd64	1:4.5.1-1
libcryptsetup12:amd64	2:2.8.4-1ubuntu4
libctf-nobfd0:amd64	2.46-3ubuntu2
libctf0:amd64	2.46-3ubuntu2
libcups2t64:amd64	2.4.16-1ubuntu1.3
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.3
libcurl4t64:amd64	8.18.0-1ubuntu2.3
libdata-dump-perl	1.25-1
libdatrie1:amd64	0.2.14-1
libdav1d7:amd64	1.5.3-1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdc1394-25:amd64	2.2.6-6
libdconf1:amd64	0.49.0-4
libdebconfclient0:amd64	0.280ubuntu1
libdebuginfod-common	0.194-4
libdebuginfod1t64:amd64	0.194-4
libdecor-0-0:amd64	0.2.5-1
libdecor-0-plugin-1-gtk:amd64	0.2.5-1
libdeflate0:amd64	1.23-2ubuntu1
libdevmapper-event1.02.1:amd64	2:1.02.205-2ubuntu3
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdisplay-info3:amd64	0.3.0-1
libdjvulibre-text	3.5.29-1
libdjvulibre21:amd64	3.5.29-1
libdouble-conversion3:amd64	3.4.0-1
libdpkg-perl	1.23.7ubuntu1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libdrm-dev:amd64	2.4.131-1
libdrm-intel1:amd64	2.4.131-1
libdrm-nouveau2:amd64	2.4.131-1
libdrm-radeon1:amd64	2.4.131-1
libdrm2:amd64	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdvdnav4:amd64	7.0.0-2
libdvdread8t64:amd64	7.0.1-1
libdw1t64:amd64	0.194-4
libeatmydata1:amd64	131-2build1
libedit2:amd64	3.1-20251016-1
libefiboot1t64:amd64	39-2
libefivar1t64:amd64	39-2
libegl-dev:amd64	1.7.0-3
libegl-mesa0:amd64	26.0.3-1ubuntu1
libegl1:amd64	1.7.0-3
libelf1t64:amd64	0.194-4
libencode-locale-perl	1.05-3
libepoxy0:amd64	1.5.10-2build1
liberror-perl	0.17030-1
libevdev2:amd64	1.13.6+dfsg-1
libevemu3t64:amd64	2.7.0-4build2
libexif12:amd64	0.6.25-2ubuntu0.1
libexpat1:amd64	2.7.4-1
libexpat1-dev:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfakeroot:amd64	1.37.2-1
libfdisk1:amd64	2.41.3-3ubuntu2
libffi-dev:amd64	3.5.2-4
libffi8:amd64	3.5.2-4
libfftw3-double3:amd64	3.3.10-2fakesync1build3
libfftw3-single3:amd64	3.3.10-2fakesync1build3
libfido2-1:amd64	1.16.0-2build1
libfile-basedir-perl	0.09-2
libfile-desktopentry-perl	0.23-1
libfile-fcntllock-perl	0.22-4ubuntu6
libfile-listing-perl	6.16-1
libfile-mimeinfo-perl	0.36-2
libflac14:amd64	1.5.0+ds-5
libflite1:amd64	2.2-7build1
libfluidsynth3:amd64	2.4.8+dfsg-1
libfont-afm-perl	1.20-4
libfontconfig1:amd64	2.17.1-3ubuntu1
libfontenc1:amd64	1:1.1.8-1build2
libfreeaptx0:amd64	0.2.2-1build1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.16-5
libftdi1-2:amd64	1.6~rc1-1build1
libftdi1-dev	1.6~rc1-1build1
libftdi1-doc	1.6~rc1-1build1
libfuse3-4:amd64	3.18.2-1
libfyaml0:amd64	0.9.4-1
libgbm-dev:amd64	26.0.3-1ubuntu1
libgbm1:amd64	26.0.3-1ubuntu1
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1
libgdbm-compat4t64:amd64	1.26-1build1
libgdbm6t64:amd64	1.26-1build1
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1
libgfortran5:amd64	16-20260322-1ubuntu1
libgif7:amd64	5.2.2-1ubuntu3.2
libgio-2.0-dev:amd64	2.88.0-1
libgio-2.0-dev-bin	2.88.0-1
libgirepository-2.0-0:amd64	2.88.0-1
libgl-dev:amd64	1.7.0-3
libgl1:amd64	1.7.0-3
libgl1-mesa-dev:amd64	26.0.3-1ubuntu1
libgl1-mesa-dri:amd64	26.0.3-1ubuntu1
libgles-dev:amd64	1.7.0-3
libgles1:amd64	1.7.0-3
libgles2:amd64	1.7.0-3
libglib2.0-0t64:amd64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libglib2.0-dev:amd64	2.88.0-1
libglib2.0-dev-bin	2.88.0-1
libglibmm-2.4-1t64:amd64	2.66.8-3
libglibmm-2.68-1t64:amd64	2.86.0-7
libglu1-mesa:amd64	9.0.2-1.1build2
libglu1-mesa-dev:amd64	9.0.2-1.1build2
libglvnd-core-dev:amd64	1.7.0-3
libglvnd-dev:amd64	1.7.0-3
libglvnd0:amd64	1.7.0-3
libglx-dev:amd64	1.7.0-3
libglx-mesa0:amd64	26.0.3-1ubuntu1
libglx0:amd64	1.7.0-3
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1
libgme0:amd64	0.6.4-1
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgomp1:amd64	16-20260322-1ubuntu1
libgpg-error0:amd64	1.58-2
libgpm2:amd64	1.20.7-12build1
libgprofng0:amd64	2.46-3ubuntu2
libgraphene-1.0-0:amd64	1.10.8-5build1
libgraphite2-3:amd64	1.3.14-11ubuntu1.1
libgs-common	10.06.0~dfsg-3ubuntu1
libgs10:amd64	10.06.0~dfsg-3ubuntu1
libgs10-common	10.06.0~dfsg-3ubuntu1
libgsm1:amd64	1.0.23-2
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4.1
libgstreamer-gl1.0-0:amd64	1.28.2-1
libgstreamer-plugins-base1.0-0:amd64	1.28.2-1
libgstreamer-plugins-extra1.0-0:amd64	1.28.2-1ubuntu1.1
libgstreamer1.0-0:amd64	1.28.2-1
libgtk-3-0t64:amd64	3.24.52-0ubuntu1
libgtk-3-bin	3.24.52-0ubuntu1
libgtk-3-common	3.24.52-0ubuntu1
libgtk-4-1:amd64	4.22.4+ds-0ubuntu0.1
libgtk-4-bin	4.22.4+ds-0ubuntu0.1
libgtk-4-common	4.22.4+ds-0ubuntu0.1
libgtkmm-3.0-1t64:amd64	3.24.10-2
libgtkmm-4.0-0:amd64	4.20.0-1build1
libgudev-1.0-0:amd64	1:238-7build1
libharfbuzz-subset0:amd64	12.3.2-2
libharfbuzz0b:amd64	12.3.2-2
libheif-plugin-aomdec:amd64	1.21.2-3ubuntu0.3
libheif-plugin-aomenc:amd64	1.21.2-3ubuntu0.3
libheif1:amd64	1.21.2-3ubuntu0.3
libhidapi-dev:amd64	0.15.0-2
libhidapi-hidraw0:amd64	0.15.0-2
libhidapi-libusb0:amd64	0.15.0-2
libhogweed6t64:amd64	3.10.2-1
libhtml-form-perl	6.13-1build1
libhtml-format-perl	2.16-2
libhtml-parser-perl:amd64	3.83-1ubuntu0.1
libhtml-tagset-perl	3.24-1
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.26.04.1
libhttp-date-perl	6.06-1ubuntu0.26.04.1
libhttp-message-perl	7.01-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhwasan0:amd64	16-20260322-1ubuntu1
libhwy1t64:amd64	1.3.0-2
libibus-1.0-5:amd64	1.5.34~rc2-1
libice6:amd64	2:1.1.1-1build1
libicu78:amd64	78.2-2ubuntu1
libid3tag0:amd64	0.16.3-4
libidn12:amd64	1.43-2ubuntu0.26.04.1
libidn2-0:amd64	2.3.8-4build1
libiec61883-0:amd64	1.2.0-8
libijs-0.35:amd64	0.35-16
libimath-3-1-29t64:amd64	3.1.12-1ubuntu5
libimlib2t64:amd64	1.12.6-1
libimobiledevice-1.0-6:amd64	1.4.0-1build1
libimobiledevice-glue-1.0-0	1.3.2-2build1
libinih1:amd64	61-1ubuntu1
libinput-bin	1.31.1-1ubuntu1
libinput10:amd64	1.31.1-1ubuntu1
libinstpatch-1.0-2:amd64	1.1.7-1.1
libintl-perl	1.37-1
libintl-xs-perl	1.37-1
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.098-1
libio-stringy-perl	2.113-2
libipc-system-simple-perl	1.30-2
libipt2	2.1.2-3
libisl23:amd64	0.27-1build1
libisns0t64:amd64	0.101-2.1
libisoburn1t64:amd64	1:1.5.6-1.1ubuntu4
libisofs6t64:amd64	1.5.6.pl01-1.1ubuntu3
libitm1:amd64	16-20260322-1ubuntu1
libjack-jackd2-0:amd64	1.9.22~dfsg-5build1
libjansson4:amd64	2.14-2build4
libjbig0:amd64	2.1-6.1ubuntu3
libjbig2dec0:amd64	0.20-1ubuntu0.26.04.1
libjemalloc2:amd64	5.3.0-4
libjpeg-progs	1:9f-2build1
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjpeg8:amd64	8c-2ubuntu12
libjpeg9:amd64	1:9f-2build1
libjq1:amd64	1.8.1-4ubuntu2
libjs-sphinxdoc	8.2.3-12
libjson-c5:amd64	0.18+ds-3
libjson-glib-1.0-0:amd64	1.10.8+ds-2
libjson-glib-1.0-common	1.10.8+ds-2
libjsoncpp26:amd64	1.9.6-5
libjxl0.11:amd64	0.11.1-6ubuntu4.2
libjxr-tools	1.2~git20170615.f752187-5.3build1
libjxr0t64:amd64	1.2~git20170615.f752187-5.3build1
libk5crypto3:amd64	1.22.1-2ubuntu4.1
libkeyutils1:amd64	1.6.3-6ubuntu3
libklibc:amd64	2.0.14-1ubuntu2
libkmod2:amd64	34.2-2ubuntu2
libkrb5-3:amd64	1.22.1-2ubuntu4.1
libkrb5support0:amd64	1.22.1-2ubuntu4.1
libksba8:amd64	1.6.7-2build1
liblapack3:amd64	3.12.1-7ubuntu1
liblc3-1:amd64	1.1.3+dfsg-1build1
liblcms2-2:amd64	2.17-1ubuntu0.2
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-5build1
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-5build1
libldap-common	2.6.10+dfsg-1ubuntu5
libldap2:amd64	2.6.10+dfsg-1ubuntu5
libldb2:amd64	2:2.11.0+samba4.23.6+dfsg-1ubuntu2.2
liblerc4:amd64	4.0.0+ds-5ubuntu2
liblightdm-gobject-1-0:amd64	1.32.0-6ubuntu4
liblilv-0-0:amd64	0.26.2-1
libllvm20:amd64	1:20.1.8-2ubuntu8
libllvm21:amd64	1:21.1.8-6ubuntu1
liblmdb0:amd64	0.9.31-1build2
liblocale-gettext-perl	1.07-8
liblqr-1-0:amd64	0.4.2-2.2
liblsan0:amd64	16-20260322-1ubuntu1
libltdl-dev:amd64	2.5.4-9
libltdl7:amd64	2.5.4-9
liblua5.4-0:amd64	5.4.8-1build1
liblvm2cmd2.03:amd64	2.03.31-2ubuntu3
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.14-1
liblz4-1:amd64	1.10.0-8
liblzma5:amd64	5.8.3-1
liblzo2-2:amd64	2.10-3build2
libmagic-mgc	1:5.46-5build2
libmagic1t64:amd64	1:5.46-5build2
libmagickcore-7.q16-10:amd64	8:7.1.2.18+dfsg1-1
libmagickcore-7.q16-10-extra:amd64	8:7.1.2.18+dfsg1-1
libmagickwand-7.q16-10:amd64	8:7.1.2.18+dfsg1-1
libmailtools-perl	2.22-1
libmaxminddb0:amd64	1.12.2-1build2
libmbedcrypto16:amd64	3.6.5-0.1ubuntu2
libmd0:amd64	1.1.0-2build4
libmd4c0:amd64	0.5.2-2build1
libmm-glib0:amd64	1.25.95-1ubuntu1
libmnl0:amd64	1.0.5-3build1
libmodule-find-perl	0.17-1
libmount-dev:amd64	2.41.3-3ubuntu2
libmount1:amd64	2.41.3-3ubuntu2
libmp3lame0:amd64	3.101~svn6525+dfsg-2
libmpathcmd0	0.14.3-2ubuntu1
libmpathpersist0	0.14.3-2ubuntu1
libmpc3:amd64	1.3.1-3
libmpfr6:amd64	4.2.2-3
libmpg123-0t64:amd64	1.33.3-2
libmtdev1t64:amd64	1.1.7-1build1
libmultipath0	0.14.3-2ubuntu1
libmysofa1:amd64	1.3.3+dfsg-1ubuntu2
libncurses6:amd64	6.6+20251231-1
libncursesw6:amd64	6.6+20251231-1
libndp0:amd64	1.9-1build1
libnet-dbus-perl	1.2.0-2build4
libnet-http-perl	6.24-1build1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl:amd64	1.94-3
libnetpbm11t64:amd64	2:11.10.02-1build1
libnetplan1:amd64	1.2-1ubuntu5
libnettle8t64:amd64	3.10.2-1
libnewt0.52:amd64	0.52.25-1ubuntu3
libnghttp2-14:amd64	1.68.0-2ubuntu0.2
libnl-3-200:amd64	3.12.0-2
libnl-genl-3-200:amd64	3.12.0-2
libnl-route-3-200:amd64	3.12.0-2
libnm0:amd64	1.54.3-2ubuntu3
libnorm1t64:amd64	1.5.9+dfsg-4
libnpth0t64:amd64	1.8-3build1
libnspr4:amd64	2:4.38.2-1ubuntu1
libnss-systemd:amd64	259.5-0ubuntu3.4
libnss3:amd64	2:3.120-1ubuntu2.1
libnuma1:amd64	2.0.19-1build1
libnvidia-cfg1-595:amd64	595.84-0ubuntu0.26.04.1
libnvidia-common-595	595.84-0ubuntu0.26.04.1
libnvidia-compute-595:amd64	595.84-0ubuntu0.26.04.1
libnvidia-decode-595:amd64	595.84-0ubuntu0.26.04.1
libnvidia-egl-wayland1:amd64	1:1.1.21-1
libnvidia-encode-595:amd64	595.84-0ubuntu0.26.04.1
libnvidia-extra-595:amd64	595.84-0ubuntu0.26.04.1
libnvidia-fbc1-595:amd64	595.84-0ubuntu0.26.04.1
libnvidia-gl-595:amd64	595.84-0ubuntu0.26.04.1
libobrender32	3.6.1-12ubuntu3
libobt2:amd64	3.6.1-12ubuntu3
libogg0:amd64	1.3.6-2
libonig5:amd64	6.9.10-1build1
libopenal-data	1:1.25.1-2
libopenal1:amd64	1:1.25.1-2
libopenexr-3-1-30:amd64	3.1.13-2build1
libopengl-dev:amd64	1.7.0-3
libopengl0:amd64	1.7.0-3
libopeniscsiusr	2.1.11-3ubuntu3
libopenjp2-7:amd64	2.5.4-1ubuntu0.1
libopenmpt0t64:amd64	0.8.4-1
libopus0:amd64	1.6.1-1
libopusfile0:amd64	0.12-4build4
liborc-0.4-0t64:amd64	1:0.4.42-2
libosmesa6:amd64	25.1.7-1ubuntu3
libp11-kit0:amd64	0.26.2-2
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1.1
libpam-cap:amd64	1:2.75-10ubuntu2
libpam-modules:amd64	1.7.0-5ubuntu3.1
libpam-modules-bin	1.7.0-5ubuntu3.1
libpam-runtime	1.7.0-5ubuntu3.1
libpam-systemd:amd64	259.5-0ubuntu3.4
